train/loss_actor,total/steps,reference_action_mean,param_noise_stddev,obs_rms_mean,rollout/episode_steps,reference_Q_std,total/episodes,rollout/episodes,reference_perturbed_action_std,total/steps_per_second,total/epochs,reference_actor_Q_std,reference_perturbed_action_mean,rollout/return,reference_actor_Q_mean,total/duration,rollout/actions_std,rollout/actions_mean,reference_Q_mean,obs_rms_std,train/loss_critic,rollout/return_history,train/param_noise_distance,reference_action_std,rollout/Q_mean
-1777.45018066,1041961,0.322544872761,0.01799937977,0.615739822388,1680.58225806,137.135299683,620.0,620.0,0.886807203293,325.766267465,31,142.474639893,0.299188405275,35188.413145,277.322235107,3198.49261284,0.69195311664,-0.189729808935,271.346679688,0.149529010057,3615.73524414,114625.036493,,0.905886769295,1096.17150997
-2040.26667969,1073013,-0.0231496244669,0.0183611673034,0.618019104004,1676.5828125,145.690856934,640.0,640.0,0.952216207981,323.766812244,32,148.308258057,-0.0470968820155,39077.0537371,317.518951416,3314.15376568,0.684336764799,-0.183326406785,309.450256348,0.151093959808,4045.22579041,131867.607238,,0.967269361019,1253.41187117
-2320.35560303,1108184,0.112393081188,0.0206898228999,0.619956493378,1679.06666667,148.556549072,660.0,660.0,0.969822466373,322.086025203,33,151.623382568,0.085074044764,42952.3626913,362.534393311,3440.64601779,0.678089970933,-0.176730212151,353.970916748,0.152429640293,2947.60175171,144754.994631,,0.979996621609,1405.83877114
-2535.52193604,1148218,0.198830768466,0.0206898228999,0.622483551502,1688.55588235,154.749404907,680.0,680.0,0.948919475079,321.019633337,34,159.408248901,0.228056922555,47413.2070209,404.512756348,3576.78434825,0.669347232172,-0.168635767193,397.79208374,0.15395988524,2554.07329285,164996.470778,,0.956170260906,1593.53827215
-2852.05480225,1177095,0.0764668956399,0.0273372761044,0.624371349812,1681.56428571,164.859039307,700.0,700.0,0.965228974819,318.347270685,35,167.572311401,0.105767466128,50554.872604,416.936035156,3697.51874256,0.66342423122,-0.162698140592,413.661651611,0.154957175255,5516.2064209,154413.128923,,0.970319867134,1729.01948244
-3279.50604492,1230593,-0.0497812777758,0.0219626639206,0.627405583858,1709.15694444,160.327697754,720.0,720.0,0.95738697052,318.112709065,36,163.829376221,-0.154111996293,56463.2392091,421.87286377,3868.41822076,0.652445362943,-0.153937170323,415.280578613,0.156157746911,3375.13058167,188367.160807,,0.969235181808,1964.15782679
-3522.05151855,1261816,0.0338934101164,0.0219626639206,0.628808021545,1705.15675676,186.156997681,740.0,740.0,0.968528747559,316.690433897,37,190.735198975,0.0846819281578,59274.4560948,466.943115234,3984.38305974,0.647466940388,-0.147871527377,461.102172852,0.156556561589,4947.30697998,188537.831184,,0.949048340321,2097.47772802
-3944.75151855,1289088,-0.123943157494,0.0219626639206,0.629719078541,1696.16842105,215.360122681,760.0,760.0,0.943776130676,316.393194579,38,220.379455566,-0.129247441888,61224.9469563,519.298461914,4074.32277966,0.643534204979,-0.144152007343,511.145568848,0.15674701333,8482.26432495,181824.003105,,0.943018555641,2200.87718621
-4161.52810059,1330343,-0.0991063117981,0.0219626639206,0.630648374557,1705.56794872,247.005050659,780.0,780.0,0.872515320778,316.76747623,39,249.609191895,-0.311802357435,63406.0432859,589.819702148,4199.74618554,0.639705045605,-0.135904381568,578.905517578,0.156776100397,8015.36264526,172157.329888,,0.918997347355,2328.35313012
-4401.37724609,1367891,-0.0112472698092,0.0219626639206,0.631627380848,1709.86375,301.206481934,800.0,800.0,0.850945055485,316.462728113,40,305.59979248,-0.230494901538,65886.2780571,637.079833984,4322.43951178,0.635896003637,-0.128802411802,630.08605957,0.156897231936,5561.14833618,173206.116229,,0.965969800949,2459.14850233
